,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,timestamp,total_wins,total_losses,win_percentage,total_ties,loss_percentage,tie_percentage,seed,total_cost,sequential_agent_class,total_time
22,hm_gpt35,,,2024-08-26_20-45-25,173,73,0.576666667,54,0.243333333,0.18,,,opponent_transition_up,
23,hm_gpt35,,,2024-08-26_21-04-31,210,57,0.7,33,0.19,0.11,,,opponent_transition_up,
24,hm_gpt35,,,2024-08-26_21-18-02,216,58,0.72,26,0.193333333,0.086666667,,,opponent_transition_up,
25,hm_gpt35,,,2024-08-27_15-14-02,145,92,0.483333333,63,0.306666667,0.21,,,W_up_L_down_T_stay,
26,hm_gpt35,,,2024-08-28_14-07-19,130,99,0.433333333,71,0.33,0.236666667,,,W_up_L_down_T_stay,
27,hm_gpt4o,,,2024-09-13_15-46-03,80,142,0.266666667,78,0.473333333,0.26,,,prev_outcome_prev_transition,
28,hm_gpt4o,,,2024-09-13_16-58-39,74,131,0.246666667,95,0.436666667,0.316666667,,,prev_outcome_prev_transition,
29,hm_gpt4o,,,2024-09-13_17-48-21,78,137,0.26,85,0.456666667,0.283333333,,,prev_outcome_prev_transition,
30,hm_gpt35,,,2024-09-16_09-30-36,80,140,0.266666667,80,0.466666667,0.266666667,,,prev_outcome_prev_transition,
31,hm_gpt35,,,2024-09-17_10-50-58,66,62,0.22,172,0.206666667,0.573333333,,,self_transition_up,
32,hm_gpt35,,,2024-09-17_12-09-34,66,45,0.22,189,0.15,0.63,,,self_transition_up,
33,hm_gpt4o,,,2024-09-24_18-56-19,60,155,0.2,85,0.516666667,0.283333333,,,opponent_transition_stay,
34,hm_gpt4o,,,2024-10-29_12-58-26,268,23,0.893333333,9,0.076666667,0.03,,,W_stay_L_up_T_down,
35,hm_gpt4o,,,2024-10-29_13-31-51,267,18,0.89,15,0.06,0.05,,,W_up_L_down_T_stay,
36,give_hypothesis_gpt4o,,,2024-10-29_16-17-33,252,36,0.84,12,0.12,0.04,,,self_transition_up,
37,give_hypothesis_gpt4o,,,2024-10-29_16-42-55,260,14,0.866666667,26,0.046666667,0.086666667,,,self_transition_down,
38,give_hypothesis_gpt4o,,,2024-10-29_17-30-54,269,15,0.896666667,16,0.05,0.053333333,,,opponent_transition_up,
39,give_hypothesis_gpt4o,,,2024-10-29_18-18-41,273,16,0.91,11,0.053333333,0.036666667,,,opponent_transition_stay,
40,choose_hypothesis_gpt4o,,,2024-10-31_20-47-10,52,202,0.173333333,46,0.673333333,0.153333333,,,opponent_transition_stay,
41,choose_hypothesis_gpt4o,,,2024-10-31_21-59-20,107,97,0.524509804,0,0.475490196,0,,6.0491,self_transition_up,
42,choose_hypothesis_gpt4o,,,2024-10-31_23-17-24,100,101,0.497512438,0,0.502487562,0,,6.0984,self_transition_up,
43,choose_hypothesis_gpt4o,,,2024-11-01_00-45-41,125,97,0.563063063,0,0.436936937,0,,6.0004,self_transition_up,
44,choose_hypothesis_gpt4o,,,2024-11-01_02-17-45,83,102,0.448648649,0,0.551351351,0,,5.561,self_transition_down,
45,choose_hypothesis_gpt4o,,,2024-11-01_03-38-06,108,93,0.537313433,0,0.462686567,0,,5.8264,self_transition_down,
46,choose_hypothesis_gpt4o,,,2024-11-01_04-52-19,80,127,0.38647343,0,0.61352657,0,,5.2914,self_transition_down,
47,choose_hypothesis_gpt4o,,,2024-11-01_05-56-14,115,68,0.628415301,0,0.371584699,0,,5.4696,opponent_transition_up,
48,choose_hypothesis_gpt4o,,,2024-11-01_07-36-15,123,68,0.643979058,0,0.356020942,0,,5.1935,opponent_transition_up,
49,choose_hypothesis_gpt4o,,,2024-11-01_09-28-09,115,95,0.383333333,90,0.316666667,0.3,,6.3046,self_transition_up,
50,choose_hypothesis_gpt4o,,,2024-11-01_11-06-54,125,94,0.416666667,81,0.313333333,0.27,,6.2536,self_transition_up,
51,choose_hypothesis_gpt4o,,,2024-11-01_12-50-57,97,98,0.323333333,105,0.326666667,0.35,,5.486,self_transition_down,
52,choose_hypothesis_gpt4o,,,2024-11-01_14-05-34,123,96,0.41,81,0.32,0.27,,5.9039,self_transition_down,
53,choose_hypothesis_gpt4o,,,2024-11-01_15-32-16,122,72,0.406666667,106,0.24,0.353333333,,5.4103,opponent_transition_up,
54,choose_hypothesis_gpt4o,,,2024-11-01_16-58-48,139,67,0.463333333,94,0.223333333,0.313333333,,6.9641,opponent_transition_up,
55,choose_hypothesis_gpt4o,,,2024-11-01_18-53-39,84,151,0.28,65,0.503333333,0.216666667,,5.3406,opponent_transition_stay,
56,choose_hypothesis_gpt4o,,,2024-11-01_20-07-04,98,135,0.326666667,67,0.45,0.223333333,,5.5714,opponent_transition_stay,
57,choose_hypothesis_gpt4o,,,2024-11-01_21-24-39,71,183,0.236666667,46,0.61,0.153333333,,5.3858,opponent_transition_stay,
58,choose_hypothesis_gpt4o,,,2024-11-01_22-25-07,173,106,0.576666667,21,0.353333333,0.07,,6.5051,W_stay_L_up_T_down,
59,choose_hypothesis_gpt4o,,,2024-11-01_23-49-47,163,108,0.543333333,29,0.36,0.096666667,,6.0132,W_stay_L_up_T_down,
60,choose_hypothesis_gpt4o,,,2024-11-02_01-01-43,155,113,0.516666667,32,0.376666667,0.106666667,,5.4018,W_stay_L_up_T_down,
61,choose_hypothesis_gpt4o,,,2024-11-02_02-26-16,153,34,0.51,113,0.113333333,0.376666667,,5.4818,W_up_L_down_T_stay,
62,choose_hypothesis_gpt4o,,,2024-11-02_03-45-34,152,40,0.506666667,108,0.133333333,0.36,,5.767,W_up_L_down_T_stay,
63,choose_hypothesis_gpt4o,,,2024-11-02_05-15-20,160,35,0.533333333,105,0.116666667,0.35,,5.3421,W_up_L_down_T_stay,
64,choose_hypothesis_gpt4o,,,2024-11-02_06-31-14,102,92,0.34,106,0.306666667,0.353333333,,5.1811,prev_outcome_prev_transition,
65,choose_hypothesis_gpt4o,,,2024-11-02_07-38-11,85,104,0.2,,,,,,,
66,choose_hypothesis_gpt4o,,,2024-11-02_08-43-22,97,113,0.323333333,90,0.376666667,0.3,,5.5222,,
67,give_hypothesis_gpt4o,,,2024-11-04_16-23-10,254,28,0.846666667,18,0.093333333,0.06,1,1.6645,self_transition_up,16.1
68,give_hypothesis_gpt4o,,,2024-11-04_16-39-17,251,33,0.836666667,16,0.11,0.053333333,2,1.6631,self_transition_up,15.7
69,give_hypothesis_gpt4o,,,2024-11-04_16-54-59,251,17,0.836666667,32,0.056666667,0.106666667,1,1.6614,self_transition_down,15.4
70,give_hypothesis_gpt4o,,,2024-11-04_17-10-25,253,20,0.843333333,27,0.066666667,0.09,2,1.6628,self_transition_down,15.8
71,give_hypothesis_gpt4o,,,2024-11-04_17-26-11,267,16,0.89,17,0.053333333,0.056666667,1,1.6404,opponent_transition_up,13.3
72,give_hypothesis_gpt4o,,,2024-11-04_17-39-30,274,12,0.913333333,14,0.04,0.046666667,2,1.6378,opponent_transition_up,12.7
73,give_hypothesis_gpt4o,,,2024-11-04_17-52-10,269,16,0.896666667,15,0.053333333,0.05,1,1.6424,opponent_transition_stay,15.5
74,give_hypothesis_gpt4o,,,2024-11-04_18-07-41,271,16,0.903333333,13,0.053333333,0.043333333,2,1.6444,opponent_transition_stay,16.2
75,give_hypothesis_gpt4o,,,2024-11-04_18-23-52,255,31,0.85,14,0.103333333,0.046666667,0,1.7104,W_stay_L_up_T_down,16.7
76,give_hypothesis_gpt4o,,,2024-11-04_18-40-34,245,33,0.816666667,22,0.11,0.073333333,1,1.7088,W_stay_L_up_T_down,14
77,give_hypothesis_gpt4o,,,2024-11-04_18-54-35,259,25,0.863333333,16,0.083333333,0.053333333,2,1.7111,W_stay_L_up_T_down,14.5
78,give_hypothesis_gpt4o,,,2024-11-04_19-09-08,245,23,0.816666667,32,0.076666667,0.106666667,0,1.7296,W_up_L_down_T_stay,15.1
79,give_hypothesis_gpt4o,,,2024-11-04_19-24-16,244,18,0.813333333,38,0.06,0.126666667,1,1.7261,W_up_L_down_T_stay,13.4
80,give_hypothesis_gpt4o,,,2024-11-04_19-37-41,244,29,0.813333333,27,0.096666667,0.09,2,1.7293,W_up_L_down_T_stay,13.7
81,give_hypothesis_gpt4o,,,2024-11-04_19-51-23,62,169,0.206666667,69,0.563333333,0.23,0,2.007,prev_outcome_prev_transition,15
82,give_hypothesis_gpt4o,,,2024-11-04_20-06-25,65,172,0.216666667,63,0.573333333,0.21,1,2.0044,prev_outcome_prev_transition,14.8
83,give_hypothesis_gpt4o,,,2024-11-04_20-21-13,66,163,0.22,71,0.543333333,0.236666667,2,2.0038,prev_outcome_prev_transition,14.1
84,choose_hypothesis_gpt4o,,,2024-11-05_08-50-09,94,105,0.313333333,101,0.35,0.336666667,1,5.3708,prev_outcome_prev_transition,86.7
85,choose_hypothesis_gpt4o,,,2024-11-05_10-16-54,103,94,0.343333333,103,0.313333333,0.343333333,2,5.3818,prev_outcome_prev_transition,79.6
86,choose_hypothesis_gpt4o,,,2024-11-05_11-36-34,89,96,0.296666667,115,0.32,0.383333333,3,5.1229,prev_outcome_prev_transition,64.1
87,hm_llama3,,,2024-11-05_10-28-26,76,148,0.253333333,76,0.493333333,0.253333333,0,0,prev_outcome_prev_transition,302.9
88,choose_hypothesis_gpt4o,,,2024-11-05_15-34-51,142,83,0.473333333,75,0.276666667,0.25,,5.5802,self_transition_up,95.6
89,hm_llama3,,,2024-11-05_15-31-21,86,136,0.286666667,78,0.453333333,0.26,1,0,prev_outcome_prev_transition,311.2
90,hm_mod_memory_gpt4o,,,2025-01-08_15-20-38,107,111,0.356666667,82,0.37,0.273333333,,16.9232,opponent_transition_stay,74
91,hm_mod_memory_gpt4o,,,2025-01-08_16-09-20,203,55,0.676666667,42,0.183333333,0.14,,7.2677,opponent_transition_stay,45.7
92,hm_llama3,,,2025-02-04_15-58-26,83,107,0.276666667,110,0.356666667,0.366666667,,0,self_transition_down,297.8
93,hm_gpt4o,,,2025-02-05_14-26-38,63,166,0.21,71,0.553333333,0.236666667,,13.0971,opponent_transition_stay,85.7
94,hm_mod_memory_gpt4o,,,2025-02-05_14-27-14,62,159,0.206666667,79,0.53,0.263333333,,17.936,opponent_transition_stay,109.4
95,hm_gpt4o,,,2025-02-05_15-53-29,40,202,0.133333333,58,0.673333333,0.193333333,,13.02,opponent_transition_stay,81.9
96,hm_mod_memory_gpt4o,,,2025-02-05_15-54-03,71,155,0.236666667,74,0.516666667,0.246666667,,17.5655,opponent_transition_stay,103.9
97,hm_llama3,,,2025-02-05_14-26-24,137,90,0.456666667,73,0.3,0.243333333,,0,self_transition_up,255.7
98,hm_gpt4o,,,2025-02-05_22-07-21,68,156,0.226666667,76,0.52,0.253333333,,12.8178,opponent_transition_stay,78.6
99,hm_mod_memory_gpt4o,,,2025-02-05_22-07-10,54,163,0.18,83,0.543333333,0.276666667,,17.8257,opponent_transition_stay,97.4
100,hm_llama3,,,2025-02-05_22-08-46,137,84,0.456666667,79,0.28,0.263333333,,0,W_up_L_down_T_stay,269.4
101,hm_llama3,,,2025-02-06_02-38-18,129,90,0.43,81,0.3,0.27,,0,W_up_L_down_T_stay,277.7
102,base_llm_gpt4o,,,2025-02-06_12-39-35,25,10,0.083333333,265,0.033333333,0.883333333,,1.1699,self_transition_up,4.9
103,react_gpt4o,,,2025-02-06_12-27-02,51,43,0.17,206,0.143333333,0.686666667,,1.7339,self_transition_up,18
104,base_llm_gpt4o,,,2025-02-06_12-52-30,71,164,0.236666667,65,0.546666667,0.216666667,0,1.1683,prev_outcome_prev_transition,4.5
105,base_llm_gpt4o,,,2025-02-06_12-57-02,68,175,0.226666667,57,0.583333333,0.19,1,1.1688,prev_outcome_prev_transition,4.8
106,base_llm_gpt4o,,,2025-02-06_13-01-54,51,207,0.17,42,0.69,0.14,2,1.1702,prev_outcome_prev_transition,4.8
107,react_gpt4o,,,2025-02-06_12-52-57,41,216,0.136666667,43,0.72,0.143333333,0,1.7135,prev_outcome_prev_transition,18.1
108,react_gpt4o,,,2025-02-06_13-11-03,51,188,0.17,61,0.626666667,0.203333333,1,1.7177,prev_outcome_prev_transition,17.4
109,hm_gpt4o,,,2025-02-06_12-05-48,56,178,0.186666667,66,0.593333333,0.22,,12.9651,opponent_transition_stay,85.1
110,react_gpt4o,,,2025-02-06_13-28-27,41,211,0.136666667,48,0.703333333,0.16,2,1.708,prev_outcome_prev_transition,17.3
111,base_llm_gpt4o,,,2025-02-06_13-49-43,26,18,0.086666667,256,0.06,0.853333333,1,1.1703,self_transition_up,5
112,base_llm_gpt4o,,,2025-02-06_13-54-41,29,19,0.096666667,252,0.063333333,0.84,2,1.1698,self_transition_up,4.9
113,base_llm_gpt4o,,,2025-02-06_13-59-37,46,235,0.153333333,19,0.783333333,0.063333333,0,1.1703,self_transition_down,5.4
114,react_gpt4o,,,2025-02-06_13-49-32,43,39,0.143333333,218,0.13,0.726666667,1,1.7333,self_transition_up,18.9
115,base_llm_gpt4o,,,2025-02-06_14-05-02,67,207,0.223333333,26,0.69,0.086666667,1,1.17,self_transition_down,4.9
116,base_llm_gpt4o,,,2025-02-06_14-09-55,66,211,0.22,23,0.703333333,0.076666667,2,1.1699,self_transition_down,5
117,base_llm_gpt4o,,,2025-02-06_14-14-57,30,28,0.1,242,0.093333333,0.806666667,0,1.1698,opponent_transition_up,5.3
118,base_llm_gpt4o,,,2025-02-06_14-20-18,40,36,0.133333333,224,0.12,0.746666667,1,1.17,opponent_transition_up,4.6
119,react_gpt4o,,,2025-02-06_14-08-26,40,39,0.133333333,221,0.13,0.736666667,2,1.7339,self_transition_up,19
120,base_llm_gpt4o,,,2025-02-06_14-24-53,31,25,0.103333333,244,0.083333333,0.813333333,2,1.1696,opponent_transition_up,4.7
121,base_llm_gpt4o,,,2025-02-06_14-29-39,155,81,0.516666667,64,0.27,0.213333333,0,1.1667,opponent_transition_stay,4.8
122,base_llm_gpt4o,,,2025-02-06_14-34-25,159,79,0.53,62,0.263333333,0.206666667,1,1.1668,opponent_transition_stay,4.4
123,base_llm_gpt4o,,,2025-02-06_14-38-50,188,43,0.626666667,69,0.143333333,0.23,2,1.1656,opponent_transition_stay,4.3
124,react_gpt4o,,,2025-02-06_14-27-24,42,220,0.14,38,0.733333333,0.126666667,0,1.7182,self_transition_down,17.6
125,base_llm_gpt4o,,,2025-02-06_14-43-07,106,88,0.353333333,106,0.293333333,0.353333333,0,1.1742,W_stay_L_up_T_down,5.2
126,base_llm_gpt4o,,,2025-02-06_14-48-21,111,78,0.37,111,0.26,0.37,1,1.1677,W_stay_L_up_T_down,4.2
127,base_llm_gpt4o,,,2025-02-06_14-52-35,111,83,0.37,106,0.276666667,0.353333333,2,1.1797,W_stay_L_up_T_down,4.2
128,react_gpt4o,,,2025-02-06_14-44-58,44,214,0.146666667,42,0.713333333,0.14,1,1.7129,self_transition_down,15.3
129,base_llm_gpt4o,,,2025-02-06_14-56-45,104,85,0.346666667,111,0.283333333,0.37,0,1.1795,W_up_L_down_T_stay,4
130,base_llm_gpt4o,,,2025-02-06_15-00-45,101,91,0.336666667,108,0.303333333,0.36,1,1.177,W_up_L_down_T_stay,4.6
131,base_llm_gpt4o,,,2025-02-06_15-05-20,103,90,0.343333333,107,0.3,0.356666667,2,1.1789,W_up_L_down_T_stay,4.4
132,react_gpt4o,,,2025-02-06_15-00-17,65,202,0.216666667,33,0.673333333,0.11,2,1.7171,self_transition_down,17.1
133,react_gpt4o,,,2025-02-06_15-17-23,146,65,0.486666667,89,0.216666667,0.296666667,0,1.7416,opponent_transition_up,19.1
134,react_gpt4o,,,2025-02-06_15-36-28,153,76,0.51,71,0.253333333,0.236666667,1,1.7419,opponent_transition_up,18.3
135,react_gpt4o,,,2025-02-06_15-54-48,152,59,0.506666667,89,0.196666667,0.296666667,2,1.7413,opponent_transition_up,19.4
136,react_gpt4o,,,2025-02-06_16-14-13,30,234,0.1,36,0.78,0.12,0,1.7056,opponent_transition_stay,18.6
137,react_gpt4o,,,2025-02-06_16-32-50,34,223,0.113333333,43,0.743333333,0.143333333,1,1.7059,opponent_transition_stay,18.3
138,react_gpt4o,,,2025-02-06_16-51-08,31,234,0.103333333,35,0.78,0.116666667,2,1.7093,opponent_transition_stay,16.9
139,hm_llama3,,,2025-02-06_12-07-54,95,130,0.316666667,75,0.433333333,0.25,2,0,prev_outcome_prev_transition,309.5
140,react_gpt4o,,,2025-02-06_17-08-01,135,80,0.45,85,0.266666667,0.283333333,0,1.7191,W_stay_L_up_T_down,18.3
141,react_gpt4o,,,2025-02-06_17-26-19,130,74,0.433333333,96,0.246666667,0.32,1,1.7157,W_stay_L_up_T_down,18.4
142,react_gpt4o,,,2025-02-06_17-44-45,130,79,0.433333333,91,0.263333333,0.303333333,2,1.7197,W_stay_L_up_T_down,19.4
143,react_gpt4o,,,2025-02-06_18-04-12,123,86,0.41,91,0.286666667,0.303333333,0,1.7228,W_up_L_down_T_stay,21.7
144,react_gpt4o,,,2025-02-06_18-25-57,122,77,0.406666667,101,0.256666667,0.336666667,1,1.7216,W_up_L_down_T_stay,17.4
145,react_gpt4o,,,2025-02-06_18-43-22,123,80,0.41,97,0.266666667,0.323333333,2,1.7276,W_up_L_down_T_stay,16.8
146,hm_llama3,,,2025-02-06_17-17-22,82,154,0.273333333,64,0.513333333,0.213333333,3,0,prev_outcome_prev_transition,299.3
147,hm_llama3,,,2025-02-06_22-16-38,79,147,0.263333333,74,0.49,0.246666667,4,0,prev_outcome_prev_transition,299.6
