,tom_agent_class,timestamp,total_wins,total_losses,win_percentage,total_ties,loss_percentage,tie_percentage,seed,total_cost,sequential_agent_class,total_time
18,hm_gpt35,2024-08-26_17-18-20,105,67,0.35,128.0,0.2233333333333333,0.4266666666666667,,,self_transition_up,
19,hm_gpt35,2024-08-26_18-24-14,65,169,0.2166666666666666,66.0,0.5633333333333334,0.22,,,self_transition_down,
20,hm_gpt35,2024-08-26_19-36-25,132,89,0.44,79.0,0.2966666666666667,0.2633333333333333,,,self_transition_down,
21,hm_gpt35,2024-08-26_20-06-04,48,179,0.16,73.0,0.5966666666666667,0.2433333333333333,,,self_transition_down,
22,hm_gpt35,2024-08-26_20-45-25,173,73,0.5766666666666667,54.0,0.2433333333333333,0.18,,,opponent_transition_up,
23,hm_gpt35,2024-08-26_21-04-31,210,57,0.7,33.0,0.19,0.11,,,opponent_transition_up,
24,hm_gpt35,2024-08-26_21-18-02,216,58,0.72,26.0,0.1933333333333333,0.0866666666666666,,,opponent_transition_up,
25,hm_gpt35,2024-08-27_15-14-02,145,92,0.4833333333333333,63.0,0.3066666666666666,0.21,,,W_up_L_down_T_stay,
26,hm_gpt35,2024-08-28_14-07-19,130,99,0.4333333333333333,71.0,0.33,0.2366666666666666,,,W_up_L_down_T_stay,
27,hm_gpt4o,2024-09-13_15-46-03,80,142,0.2666666666666666,78.0,0.4733333333333333,0.26,,,prev_outcome_prev_transition,
28,hm_gpt4o,2024-09-13_16-58-39,74,131,0.2466666666666666,95.0,0.4366666666666666,0.3166666666666666,,,prev_outcome_prev_transition,
29,hm_gpt4o,2024-09-13_17-48-21,78,137,0.26,85.0,0.4566666666666666,0.2833333333333333,,,prev_outcome_prev_transition,
30,hm_gpt35,2024-09-16_09-30-36,80,140,0.2666666666666666,80.0,0.4666666666666667,0.2666666666666666,,,prev_outcome_prev_transition,
31,hm_gpt35,2024-09-17_10-50-58,66,62,0.22,172.0,0.2066666666666666,0.5733333333333334,,,self_transition_up,
32,hm_gpt35,2024-09-17_12-09-34,66,45,0.22,189.0,0.15,0.63,,,self_transition_up,
33,hm_gpt4o,2024-09-24_18-56-19,60,155,0.2,85.0,0.5166666666666667,0.2833333333333333,,,opponent_transition_stay,
34,hm_gpt4o,2024-10-29_12-58-26,268,23,0.8933333333333333,9.0,0.0766666666666666,0.03,,,W_stay_L_up_T_down,
35,hm_gpt4o,2024-10-29_13-31-51,267,18,0.89,15.0,0.06,0.05,,,W_up_L_down_T_stay,
36,give_hypothesis_gpt4o,2024-10-29_16-17-33,252,36,0.84,12.0,0.12,0.04,,,self_transition_up,
37,give_hypothesis_gpt4o,2024-10-29_16-42-55,260,14,0.8666666666666667,26.0,0.0466666666666666,0.0866666666666666,,,self_transition_down,
38,give_hypothesis_gpt4o,2024-10-29_17-30-54,269,15,0.8966666666666666,16.0,0.05,0.0533333333333333,,,opponent_transition_up,
39,give_hypothesis_gpt4o,2024-10-29_18-18-41,273,16,0.91,11.0,0.0533333333333333,0.0366666666666666,,,opponent_transition_stay,
40,choose_hypothesis_gpt4o,2024-10-31_20-47-10,52,202,0.1733333333333333,46.0,0.6733333333333333,0.1533333333333333,,,opponent_transition_stay,
41,choose_hypothesis_gpt4o,2024-10-31_21-59-20,107,97,0.5245098039215687,0.0,0.4754901960784313,0.0,,6.0491,self_transition_up,
42,choose_hypothesis_gpt4o,2024-10-31_23-17-24,100,101,0.4975124378109453,0.0,0.5024875621890548,0.0,,6.0984,self_transition_up,
43,choose_hypothesis_gpt4o,2024-11-01_00-45-41,125,97,0.5630630630630631,0.0,0.4369369369369369,0.0,,6.0004,self_transition_up,
44,choose_hypothesis_gpt4o,2024-11-01_02-17-45,83,102,0.4486486486486487,0.0,0.5513513513513514,0.0,,5.561,self_transition_down,
45,choose_hypothesis_gpt4o,2024-11-01_03-38-06,108,93,0.5373134328358209,0.0,0.4626865671641791,0.0,,5.8264,self_transition_down,
46,choose_hypothesis_gpt4o,2024-11-01_04-52-19,80,127,0.3864734299516908,0.0,0.6135265700483091,0.0,,5.2914,self_transition_down,
47,choose_hypothesis_gpt4o,2024-11-01_05-56-14,115,68,0.6284153005464481,0.0,0.3715846994535519,0.0,,5.4696,opponent_transition_up,
48,choose_hypothesis_gpt4o,2024-11-01_07-36-15,123,68,0.643979057591623,0.0,0.3560209424083769,0.0,,5.1935,opponent_transition_up,
49,choose_hypothesis_gpt4o,2024-11-01_09-28-09,115,95,0.3833333333333333,90.0,0.3166666666666666,0.3,,6.3046,self_transition_up,
50,choose_hypothesis_gpt4o,2024-11-01_11-06-54,125,94,0.4166666666666667,81.0,0.3133333333333333,0.27,,6.2536,self_transition_up,
51,choose_hypothesis_gpt4o,2024-11-01_12-50-57,97,98,0.3233333333333333,105.0,0.3266666666666666,0.35,,5.486,self_transition_down,
52,choose_hypothesis_gpt4o,2024-11-01_14-05-34,123,96,0.41,81.0,0.32,0.27,,5.9039,self_transition_down,
53,choose_hypothesis_gpt4o,2024-11-01_15-32-16,122,72,0.4066666666666667,106.0,0.24,0.3533333333333333,,5.4103,opponent_transition_up,
54,choose_hypothesis_gpt4o,2024-11-01_16-58-48,139,67,0.4633333333333333,94.0,0.2233333333333333,0.3133333333333333,,6.9641,opponent_transition_up,
55,choose_hypothesis_gpt4o,2024-11-01_18-53-39,84,151,0.28,65.0,0.5033333333333333,0.2166666666666666,,5.3406,opponent_transition_stay,
56,choose_hypothesis_gpt4o,2024-11-01_20-07-04,98,135,0.3266666666666666,67.0,0.45,0.2233333333333333,,5.5714,opponent_transition_stay,
57,choose_hypothesis_gpt4o,2024-11-01_21-24-39,71,183,0.2366666666666666,46.0,0.61,0.1533333333333333,,5.3858,opponent_transition_stay,
58,choose_hypothesis_gpt4o,2024-11-01_22-25-07,173,106,0.5766666666666667,21.0,0.3533333333333333,0.07,,6.5051,W_stay_L_up_T_down,
59,choose_hypothesis_gpt4o,2024-11-01_23-49-47,163,108,0.5433333333333333,29.0,0.36,0.0966666666666666,,6.0132,W_stay_L_up_T_down,
60,choose_hypothesis_gpt4o,2024-11-02_01-01-43,155,113,0.5166666666666667,32.0,0.3766666666666666,0.1066666666666666,,5.4018,W_stay_L_up_T_down,
61,choose_hypothesis_gpt4o,2024-11-02_02-26-16,153,34,0.51,113.0,0.1133333333333333,0.3766666666666666,,5.4818,W_up_L_down_T_stay,
62,choose_hypothesis_gpt4o,2024-11-02_03-45-34,152,40,0.5066666666666667,108.0,0.1333333333333333,0.36,,5.767,W_up_L_down_T_stay,
63,choose_hypothesis_gpt4o,2024-11-02_05-15-20,160,35,0.5333333333333333,105.0,0.1166666666666666,0.35,,5.3421,W_up_L_down_T_stay,
64,choose_hypothesis_gpt4o,2024-11-02_06-31-14,102,92,0.34,106.0,0.3066666666666666,0.3533333333333333,,5.1811,prev_outcome_prev_transition,
65,choose_hypothesis_gpt4o,2024-11-02_07-38-11,85,104,0.2,,,,,,,
66,choose_hypothesis_gpt4o,2024-11-02_08-43-22,97,113,0.3233333333333333,90.0,0.3766666666666666,0.3,,5.5222,,
67,give_hypothesis_gpt4o,2024-11-04_16-23-10,254,28,0.8466666666666667,18.0,0.0933333333333333,0.06,1.0,1.6645,self_transition_up,16.1
68,give_hypothesis_gpt4o,2024-11-04_16-39-17,251,33,0.8366666666666667,16.0,0.11,0.0533333333333333,2.0,1.6631,self_transition_up,15.7
69,give_hypothesis_gpt4o,2024-11-04_16-54-59,251,17,0.8366666666666667,32.0,0.0566666666666666,0.1066666666666666,1.0,1.6614,self_transition_down,15.4
70,give_hypothesis_gpt4o,2024-11-04_17-10-25,253,20,0.8433333333333334,27.0,0.0666666666666666,0.09,2.0,1.6628,self_transition_down,15.8
71,give_hypothesis_gpt4o,2024-11-04_17-26-11,267,16,0.89,17.0,0.0533333333333333,0.0566666666666666,1.0,1.6404,opponent_transition_up,13.3
72,give_hypothesis_gpt4o,2024-11-04_17-39-30,274,12,0.9133333333333332,14.0,0.04,0.0466666666666666,2.0,1.6378,opponent_transition_up,12.7
73,give_hypothesis_gpt4o,2024-11-04_17-52-10,269,16,0.8966666666666666,15.0,0.0533333333333333,0.05,1.0,1.6424,opponent_transition_stay,15.5
74,give_hypothesis_gpt4o,2024-11-04_18-07-41,271,16,0.9033333333333332,13.0,0.0533333333333333,0.0433333333333333,2.0,1.6444,opponent_transition_stay,16.2
75,give_hypothesis_gpt4o,2024-11-04_18-23-52,255,31,0.85,14.0,0.1033333333333333,0.0466666666666666,0.0,1.7104,W_stay_L_up_T_down,16.7
76,give_hypothesis_gpt4o,2024-11-04_18-40-34,245,33,0.8166666666666667,22.0,0.11,0.0733333333333333,1.0,1.7088,W_stay_L_up_T_down,14.0
77,give_hypothesis_gpt4o,2024-11-04_18-54-35,259,25,0.8633333333333333,16.0,0.0833333333333333,0.0533333333333333,2.0,1.7111,W_stay_L_up_T_down,14.5
78,give_hypothesis_gpt4o,2024-11-04_19-09-08,245,23,0.8166666666666667,32.0,0.0766666666666666,0.1066666666666666,0.0,1.7296,W_up_L_down_T_stay,15.1
79,give_hypothesis_gpt4o,2024-11-04_19-24-16,244,18,0.8133333333333334,38.0,0.06,0.1266666666666666,1.0,1.7261,W_up_L_down_T_stay,13.4
80,give_hypothesis_gpt4o,2024-11-04_19-37-41,244,29,0.8133333333333334,27.0,0.0966666666666666,0.09,2.0,1.7293,W_up_L_down_T_stay,13.7
81,give_hypothesis_gpt4o,2024-11-04_19-51-23,62,169,0.2066666666666666,69.0,0.5633333333333334,0.23,0.0,2.007,prev_outcome_prev_transition,15.0
82,give_hypothesis_gpt4o,2024-11-04_20-06-25,65,172,0.2166666666666666,63.0,0.5733333333333334,0.21,1.0,2.0044,prev_outcome_prev_transition,14.8
83,give_hypothesis_gpt4o,2024-11-04_20-21-13,66,163,0.22,71.0,0.5433333333333333,0.2366666666666666,2.0,2.0038,prev_outcome_prev_transition,14.1
84,choose_hypothesis_gpt4o,2024-11-05_08-50-09,94,105,0.3133333333333333,101.0,0.35,0.3366666666666666,1.0,5.3708,prev_outcome_prev_transition,86.7
85,choose_hypothesis_gpt4o,2024-11-05_10-16-54,103,94,0.3433333333333333,103.0,0.3133333333333333,0.3433333333333333,2.0,5.3818,prev_outcome_prev_transition,79.6
86,choose_hypothesis_gpt4o,2024-11-05_11-36-34,89,96,0.2966666666666667,115.0,0.32,0.3833333333333333,3.0,5.1229,prev_outcome_prev_transition,64.1
87,hm_llama3,2024-11-05_10-28-26,76,148,0.2533333333333333,76.0,0.4933333333333333,0.2533333333333333,0.0,0.0,prev_outcome_prev_transition,302.9
